,is_weekend,count_supports,count_all_days,supports_per_day,supports_per_week,count_of_month,count_of_week,max_subsequence,max_subsequence_week,count_of_bad_trigger_calls,count_of_good_calls
49152,0.0,5,2,2.5,2.5,1,2,3,3,2,0
49153,0.0,3,1,3.0,3.0,1,1,3,3,0,0
49154,0.0,5,2,2.5,5.0,1,1,4,5,0,3
40963,0.0,8,5,1.6,1.6,2,5,2,2,1,0
49156,1.0,1,1,1.0,1.0,1,1,1,1,0,0
49159,0.35294117647058826,17,10,1.7,2.4285714285714284,2,7,3,5,3,1
49162,0.25,4,3,1.3333333333333333,1.3333333333333333,2,3,2,2,0,0
8203,0.0,4,3,1.3333333333333333,2.0,1,2,2,3,0,0
40972,0.2857142857142857,7,5,1.4,1.75,2,4,2,3,0,0
40979,0.0,1,1,1.0,1.0,1,1,1,1,0,0
8214,0.5,2,2,1.0,1.0,1,2,1,1,1,0
213016,0.0,1,1,1.0,1.0,1,1,1,1,0,0
8216,0.0,3,1,3.0,1.5,2,2,3,2,0,0
8219,0.0,5,3,1.6666666666666667,1.6666666666666667,2,3,2,2,0,0
147488,0.3333333333333333,9,4,2.25,2.25,2,4,3,3,6,0
8226,0.0,6,1,6.0,6.0,1,1,6,6,0,0
49187,0.3333333333333333,15,13,1.1538461538461537,1.875,2,8,2,3,0,0
49190,0.0,5,3,1.6666666666666667,1.6666666666666667,2,3,2,2,0,0
41000,0.3333333333333333,3,2,1.5,3.0,1,1,2,3,2,0
8236,0.0,1,1,1.0,1.0,1,1,1,1,0,0
8237,0.15384615384615385,13,4,3.25,4.333333333333333,2,3,8,10,8,0
8238,1.0,3,1,3.0,3.0,1,1,3,3,0,0
8242,0.0,1,1,1.0,1.0,1,1,1,1,0,0
8243,0.0,2,1,2.0,1.0,2,2,2,1,0,0
8246,0.0,2,2,1.0,2.0,1,1,1,2,0,0
49208,0.0,3,2,1.5,1.5,1,2,2,2,2,0
8250,0.07692307692307693,13,4,3.25,4.333333333333333,2,3,8,8,5,0
49210,0.0,1,1,1.0,1.0,1,1,1,1,0,0
8255,1.0,9,2,4.5,3.0,2,3,8,5,0,0
8259,0.3,10,7,1.4285714285714286,2.0,2,5,2,5,0,0
270405,0.11764705882352941,17,11,1.5454545454545454,2.4285714285714284,2,7,4,4,0,0
8263,0.0,4,2,2.0,4.0,1,1,3,4,1,0
8264,0.0,1,1,1.0,1.0,1,1,1,1,0,0
221259,0.43333333333333335,30,10,3.0,5.0,2,6,9,7,9,0
32848,0.6666666666666666,3,2,1.5,1.5,2,2,2,2,0,0
49233,0.0,2,1,2.0,2.0,1,1,2,2,1,0
8277,1.0,1,1,1.0,1.0,1,1,1,1,0,0
49240,0.0,2,1,2.0,2.0,1,1,2,2,0,0
49241,0.0,2,2,1.0,1.0,1,2,1,1,0,0
8287,0.6,5,3,1.6666666666666667,1.6666666666666667,2,3,3,3,0,0
49248,0.0,1,1,1.0,1.0,1,1,1,1,1,0
8293,0.0,1,1,1.0,1.0,1,1,1,1,0,0
8299,0.8,5,2,2.5,1.6666666666666667,2,3,4,2,0,0
49259,0.75,4,2,2.0,2.0,1,2,3,3,0,0
8303,0.25,4,3,1.3333333333333333,1.3333333333333333,2,3,2,2,1,0
122997,0.0,3,3,1.0,1.0,2,3,1,1,0,0
8311,0.0,5,3,1.6666666666666667,1.6666666666666667,2,3,3,3,0,1
49272,0.6,5,2,2.5,1.6666666666666667,2,3,3,2,0,0
49279,1.0,2,1,2.0,2.0,1,1,2,2,1,0
8321,1.0,2,1,2.0,2.0,1,1,2,2,0,2
41104,0.6153846153846154,13,9,1.4444444444444444,1.8571428571428572,2,7,4,5,0,1
8342,0.0,2,1,2.0,2.0,1,1,2,2,0,0
