,competitor_count_visit,first_competitor,second_competitor,count_of_competitor
3455,24,19,5,2
3458,1,0,1,1
3459,2,1,1,2
3460,10,10,0,1
3461,1,0,1,1
3464,2,0,2,1
3465,2,2,0,1
3468,61,59,2,2
3469,3,0,3,1
3470,1,0,1,1
3472,14,0,14,1
3474,2,0,2,1
3478,17,15,2,2
3481,1,1,0,1
3490,4,4,0,1
3492,7,2,5,2
3493,3,0,3,1
3494,1,1,0,1
3495,263,222,41,2
3497,13,6,7,2
3499,1,1,0,1
3500,34,0,34,1
3501,3,2,1,2
3502,3,2,1,2
3504,2,0,2,1
3506,1,0,1,1
3507,1,0,1,1
3511,2,1,1,2
3513,1,0,1,1
3514,465,462,3,2
3515,9,9,0,1
3516,2,0,2,1
3518,136,125,11,2
3520,160,146,14,2
3521,6,4,2,2
3522,2,0,2,1
3526,7,1,6,2
3528,24,21,3,2
3530,2,2,0,1
3531,11,9,2,2
3534,1,0,1,1
3536,3,0,3,1
3538,1,0,1,1
3541,14,8,6,2
3542,20,10,10,2
3544,615,1,614,2
3546,6,0,6,1
3556,4,4,0,1
3557,78,0,78,1
3559,5,0,5,1
3561,31,31,0,1
3562,36,34,2,2
3563,3,0,3,1
3564,4,0,4,1
3565,8,7,1,2
3566,2,0,2,1
3569,228,228,0,1
3570,6,1,5,2
3574,2,2,0,1
3575,6,0,6,1
3580,1,0,1,1
3581,8,0,8,1
3582,36,4,32,2
3583,13,9,4,2
3584,27,20,7,2
3585,1,0,1,1
3586,12,12,0,1
3587,14,2,12,2
3589,7,0,7,1
3591,23,3,20,2
3592,35,0,35,1
3600,3,3,0,1
3603,2,2,0,1
3604,30,30,0,1
3605,49,48,1,2
3607,213,213,0,1
3608,5,4,1,2
3609,1,1,0,1
3611,390,389,1,2
3612,1,1,0,1
3614,1,0,1,1
3615,6,3,3,2
3616,1,0,1,1
3617,21,21,0,1
3618,51,48,3,2
3620,5,5,0,1
3621,1,0,1,1
3622,1,1,0,1
3623,4,2,2,2
3624,2,1,1,2
3625,248,248,0,1
3630,1,0,1,1
3631,5,1,4,2
3634,1,1,0,1
3635,3,0,3,1
3636,4,3,1,2
3637,1,0,1,1
3638,17,16,1,2
3641,27,25,2,2
3642,5,1,4,2
3647,24,19,5,2
3648,2,0,2,1
3649,747,744,3,2
3651,29,0,29,1
3652,2,2,0,1
3653,6,4,2,2
3656,10,4,6,2
3662,1,0,1,1
3664,1,0,1,1
3665,25,24,1,2
3668,16,5,11,2
3670,1,0,1,1
3671,45,45,0,1
3672,31,18,13,2
3674,47,46,1,2
3677,98,98,0,1
3680,19,7,12,2
3681,26,25,1,2
3683,561,0,561,1
3686,15,15,0,1
3687,3,1,2,2
3690,10,6,4,2
3691,6,6,0,1
3693,1,1,0,1
3696,484,1,483,2
3697,79,52,27,2
3699,2,1,1,2
3702,2,1,1,2
3703,1,0,1,1
3705,2,0,2,1
3708,9,2,7,2
3711,32,21,11,2
3712,8,8,0,1
3713,1,0,1,1
3718,1,0,1,1
3720,14,10,4,2
3721,8,5,3,2
3723,12,12,0,1
3727,169,169,0,1
3730,2,1,1,2
3731,2,1,1,2
3734,3,0,3,1
3735,1,0,1,1
3736,2,1,1,2
3738,2,0,2,1
3739,8,5,3,2
3741,6,0,6,1
3742,118,103,15,2
3743,7,7,0,1
3744,146,146,0,1
3746,19,19,0,1
3747,6,1,5,2
3749,26,0,26,1
3750,9,9,0,1
3751,23,23,0,1
3752,1,1,0,1
3753,27,26,1,2
3754,6,2,4,2
3756,6,1,5,2
3758,3,3,0,1
3760,3,2,1,2
3761,11,2,9,2
3762,3,3,0,1
3765,15,6,9,2
3766,1,0,1,1
3767,1,0,1,1
3769,10,6,4,2
3770,2,0,2,1
3773,6,0,6,1
3788,5,3,2,2
3789,2,0,2,1
3790,12,4,8,2
3791,2,0,2,1
3792,38,5,33,2
3796,2,2,0,1
3798,3,0,3,1
3801,11,5,6,2
3802,144,0,144,1
3804,3,3,0,1
3805,4,0,4,1
3808,8,8,0,1
3810,2,0,2,1
3811,59,0,59,1
3813,6,6,0,1
3815,22,21,1,2
3817,9,5,4,2
3818,107,105,2,2
3821,1,1,0,1
3826,5,2,3,2
3828,1,1,0,1
3829,3,0,3,1
3830,5,1,4,2
3831,9,3,6,2
3832,7,7,0,1
3833,4,0,4,1
3834,5,0,5,1
3838,16,1,15,2
3840,1,0,1,1
3844,411,405,6,2
3845,667,664,3,2
3846,13,3,10,2
3847,14,7,7,2
3855,6,6,0,1
3856,3,1,2,2
3857,2,1,1,2
3861,1,0,1,1
3862,2,0,2,1
3864,6,6,0,1
3865,13,5,8,2
3867,6,2,4,2
3868,82,81,1,2
3869,4,0,4,1
3870,112,61,51,2
3871,33,33,0,1
3873,2,0,2,1
3874,2,0,2,1
3878,3,1,2,2
3879,15,0,15,1
3881,61,59,2,2
3884,10,8,2,2
3890,1,0,1,1
3892,7,4,3,2
3896,10,7,3,2
3898,14,0,14,1
3899,1,1,0,1
3900,29,26,3,2
3902,1,1,0,1
3904,4,2,2,2
3905,15,15,0,1
3906,2,2,0,1
3908,3,1,2,2
3909,1,1,0,1
3913,5,3,2,2
3916,2,0,2,1
3917,6,6,0,1
3922,27,23,4,2
3923,25,22,3,2
